initial_branch,trial_id,stage_id,branch_index,from_bus,to_bus,PF,PT,active_flow_mw,active_limit_mw,P_li_pu,P_li_max_pu,line_overlimit_component,line_severity_component,severity_valid,replay_source
43,3,1,46,29,38,-686.790481752061,690.632458715039,690.632458715039,1200,0.575527048929199,1,0,0,1,replayed_pf_result
43,4,1,1,1,2,-275.704049924852,278.362430816155,278.362430816155,600,0.463937384693591,1,0,0,1,replayed_pf_result
43,4,1,2,1,39,178.104049924853,-177.787956460772,178.104049924853,1000,0.178104049924853,1,0,0,1,replayed_pf_result
43,4,1,3,2,3,329.358613075884,-327.94571929713,329.358613075884,500,0.658717226151768,1,0,0,1,replayed_pf_result
43,4,1,4,2,25,-184.039451515031,186.550214849468,186.550214849468,500,0.373100429698935,1,0,0,1,replayed_pf_result
43,4,1,5,2,30,-423.681592377008,423.681592377008,423.681592377008,900,0.470757324863342,1,0,0,1,replayed_pf_result
43,4,1,6,3,4,-5.40681943217284,5.46483161916392,5.46483161916392,500,0.0109296632383278,1,0,0,1,replayed_pf_result
43,4,1,7,3,18,11.3525387293017,-11.3511216519194,11.3525387293017,500,0.0227050774586035,1,0,0,1,replayed_pf_result
43,4,1,8,4,5,-260.223252994162,260.790323850621,260.790323850621,600,0.434650539751035,1,0,0,1,replayed_pf_result
43,4,1,9,4,14,-245.241578625002,245.765517850564,245.765517850564,500,0.491531035701128,1,0,0,1,replayed_pf_result
43,4,1,10,5,6,-658.310662725995,659.208867770162,659.208867770162,1200,0.549340723141802,1,0,0,1,replayed_pf_result
43,4,1,11,5,8,397.520338875377,-396.198384364139,397.520338875377,900,0.441689265417085,1,0,0,1,replayed_pf_result
43,4,1,12,6,7,524.371878758748,-522.634359740751,524.371878758748,900,0.582635420843054,1,0,0,1,replayed_pf_result
43,4,1,13,6,11,-246.372262494243,246.840834648846,246.840834648846,480,0.514251738851762,1,0,0,1,replayed_pf_result
43,4,1,14,6,31,-937.208484034672,937.208484034672,937.208484034672,1800,0.520671380019262,1,0,0,1,replayed_pf_result
43,4,1,15,7,8,288.834359740749,-288.489580544689,288.834359740749,900,0.32092706637861,1,0,0,1,replayed_pf_result
43,4,1,16,8,9,162.687964908826,-161.882572789701,162.687964908826,900,0.180764405454251,1,0,0,1,replayed_pf_result
43,4,1,17,9,39,155.382572789702,-155.123787335347,155.382572789702,900,0.172647303099669,1,0,0,1,replayed_pf_result
43,4,1,18,10,11,256.02833204202,-255.716454329158,256.02833204202,600,0.4267138867367,1,0,0,1,replayed_pf_result
43,4,1,19,10,13,350.256283226789,-349.732050999614,350.256283226789,600,0.583760472044648,1,0,0,1,replayed_pf_result
43,4,1,20,10,32,-606.284615268811,606.284615268811,606.284615268811,900,0.673649572520901,1,0,0,1,replayed_pf_result
43,4,1,21,12,11,-8.84306763106933,8.87561968031104,8.87561968031104,500,0.0177512393606221,1,0,0,1,replayed_pf_result
43,4,1,22,12,13,0.313067631069396,-0.280630503419765,0.313067631069396,500,0.000626135262138791,1,0,0,1,replayed_pf_result
43,4,1,23,13,14,350.012681503034,-348.881085209157,350.012681503034,600,0.583354469171724,1,0,0,1,replayed_pf_result
43,4,1,24,14,15,103.115567358593,-102.914508011569,103.115567358593,600,0.171859278930988,1,0,0,1,replayed_pf_result
43,4,1,25,15,16,-217.085491988432,217.624686047619,217.624686047619,600,0.362707810079365,1,0,0,1,replayed_pf_result
43,4,1,26,16,17,232.145682095166,-231.769213203104,232.145682095166,600,0.386909470158611,1,0,0,1,replayed_pf_result
43,4,1,27,16,19,-447.062651652022,450.502937730744,450.502937730744,600,0.750838229551239,1,0,0,1,replayed_pf_result
43,4,1,28,16,21,-303.370301238667,304.165127631987,304.165127631987,600,0.506941879386645,1,0,0,1,replayed_pf_result
43,4,1,29,16,24,-28.3374152520995,28.346457268852,28.346457268852,600,0.0472440954480867,1,0,0,1,replayed_pf_result
43,4,1,30,17,18,146.800516704583,-146.648878348078,146.800516704583,600,0.244667527840971,1,0,0,1,replayed_pf_result
43,4,1,31,17,27,84.9686964985187,-84.875184153417,84.9686964985187,600,0.141614494164198,1,0,0,1,replayed_pf_result
43,4,1,32,19,20,144.092959093007,-143.941314208114,144.092959093007,900,0.160103287881119,1,0,0,1,replayed_pf_result
43,4,1,33,19,33,-594.595896823753,597.394063380089,597.394063380089,900,0.663771181533432,1,0,0,1,replayed_pf_result
43,4,1,34,20,34,-536.058685791885,538.920410571228,538.920410571228,900,0.598800456190254,1,0,0,1,replayed_pf_result
43,4,1,35,21,22,-578.165127631985,580.874037536905,580.874037536905,900,0.645415597263228,1,0,0,1,replayed_pf_result
43,4,1,36,22,23,25.11703253401,-25.0806117159646,25.11703253401,600,0.0418617208900166,1,0,0,1,replayed_pf_result
43,4,1,37,22,35,-605.991070070916,605.991070070916,605.991070070916,900,0.673323411189907,1,0,0,1,replayed_pf_result
43,4,1,38,23,24,339.51385583934,-336.946457268852,339.51385583934,600,0.5658564263989,1,0,0,1,replayed_pf_result
43,4,1,39,23,36,-561.933244123374,563.531328023536,563.531328023536,900,0.626145920026151,1,0,0,1,replayed_pf_result
43,4,1,40,25,26,141.750793886157,-141.128001606442,141.750793886157,600,0.236251323143595,1,0,0,1,replayed_pf_result
43,4,1,41,25,37,-552.301008735625,554.155912141231,554.155912141231,900,0.615728791268035,1,0,0,1,replayed_pf_result
43,4,1,42,26,27,196.697817666693,-196.124815846583,196.697817666693,600,0.327829696111156,1,0,0,1,replayed_pf_result
43,4,1,43,26,28,0,0,0,600,0,1,0,0,1,replayed_pf_result
43,4,1,44,26,29,-194.569816060251,196.705758477224,196.705758477224,600,0.327842930795373,1,0,0,1,replayed_pf_result
43,4,1,45,28,29,-206,206.584723274837,206.584723274837,600,0.344307872124728,1,0,0,1,replayed_pf_result
43,4,1,46,29,38,-686.790481752061,690.632458715039,690.632458715039,1200,0.575527048929199,1,0,0,1,replayed_pf_result
43,5,1,1,1,2,-275.704049924852,278.362430816155,278.362430816155,600,0.463937384693591,1,0,0,1,replayed_pf_result
43,5,1,2,1,39,178.104049924853,-177.787956460772,178.104049924853,1000,0.178104049924853,1,0,0,1,replayed_pf_result
43,5,1,3,2,3,329.358613075884,-327.94571929713,329.358613075884,500,0.658717226151768,1,0,0,1,replayed_pf_result
43,5,1,4,2,25,-184.039451515031,186.550214849468,186.550214849468,500,0.373100429698935,1,0,0,1,replayed_pf_result
43,5,1,5,2,30,-423.681592377008,423.681592377008,423.681592377008,900,0.470757324863342,1,0,0,1,replayed_pf_result
43,5,1,6,3,4,-5.40681943217284,5.46483161916392,5.46483161916392,500,0.0109296632383278,1,0,0,1,replayed_pf_result
43,5,1,7,3,18,11.3525387293017,-11.3511216519194,11.3525387293017,500,0.0227050774586035,1,0,0,1,replayed_pf_result
43,5,1,8,4,5,-260.223252994162,260.790323850621,260.790323850621,600,0.434650539751035,1,0,0,1,replayed_pf_result
43,5,1,9,4,14,-245.241578625002,245.765517850564,245.765517850564,500,0.491531035701128,1,0,0,1,replayed_pf_result
43,5,1,10,5,6,-658.310662725995,659.208867770162,659.208867770162,1200,0.549340723141802,1,0,0,1,replayed_pf_result
43,5,1,11,5,8,397.520338875377,-396.198384364139,397.520338875377,900,0.441689265417085,1,0,0,1,replayed_pf_result
43,5,1,12,6,7,524.371878758748,-522.634359740751,524.371878758748,900,0.582635420843054,1,0,0,1,replayed_pf_result
43,5,1,13,6,11,-246.372262494243,246.840834648846,246.840834648846,480,0.514251738851762,1,0,0,1,replayed_pf_result
43,5,1,14,6,31,-937.208484034672,937.208484034672,937.208484034672,1800,0.520671380019262,1,0,0,1,replayed_pf_result
43,5,1,15,7,8,288.834359740749,-288.489580544689,288.834359740749,900,0.32092706637861,1,0,0,1,replayed_pf_result
43,5,1,16,8,9,162.687964908826,-161.882572789701,162.687964908826,900,0.180764405454251,1,0,0,1,replayed_pf_result
43,5,1,17,9,39,155.382572789702,-155.123787335347,155.382572789702,900,0.172647303099669,1,0,0,1,replayed_pf_result
43,5,1,18,10,11,256.02833204202,-255.716454329158,256.02833204202,600,0.4267138867367,1,0,0,1,replayed_pf_result
43,5,1,19,10,13,350.256283226789,-349.732050999614,350.256283226789,600,0.583760472044648,1,0,0,1,replayed_pf_result
43,5,1,20,10,32,-606.284615268811,606.284615268811,606.284615268811,900,0.673649572520901,1,0,0,1,replayed_pf_result
43,5,1,21,12,11,-8.84306763106933,8.87561968031104,8.87561968031104,500,0.0177512393606221,1,0,0,1,replayed_pf_result
43,5,1,22,12,13,0.313067631069396,-0.280630503419765,0.313067631069396,500,0.000626135262138791,1,0,0,1,replayed_pf_result
43,5,1,23,13,14,350.012681503034,-348.881085209157,350.012681503034,600,0.583354469171724,1,0,0,1,replayed_pf_result
43,5,1,24,14,15,103.115567358593,-102.914508011569,103.115567358593,600,0.171859278930988,1,0,0,1,replayed_pf_result
43,5,1,25,15,16,-217.085491988432,217.624686047619,217.624686047619,600,0.362707810079365,1,0,0,1,replayed_pf_result
43,5,1,26,16,17,232.145682095166,-231.769213203104,232.145682095166,600,0.386909470158611,1,0,0,1,replayed_pf_result
43,5,1,27,16,19,-447.062651652022,450.502937730744,450.502937730744,600,0.750838229551239,1,0,0,1,replayed_pf_result
43,5,1,28,16,21,-303.370301238667,304.165127631987,304.165127631987,600,0.506941879386645,1,0,0,1,replayed_pf_result
43,5,1,29,16,24,-28.3374152520995,28.346457268852,28.346457268852,600,0.0472440954480867,1,0,0,1,replayed_pf_result
43,5,1,30,17,18,146.800516704583,-146.648878348078,146.800516704583,600,0.244667527840971,1,0,0,1,replayed_pf_result
43,5,1,31,17,27,84.9686964985187,-84.875184153417,84.9686964985187,600,0.141614494164198,1,0,0,1,replayed_pf_result
43,5,1,32,19,20,144.092959093007,-143.941314208114,144.092959093007,900,0.160103287881119,1,0,0,1,replayed_pf_result
43,5,1,33,19,33,-594.595896823753,597.394063380089,597.394063380089,900,0.663771181533432,1,0,0,1,replayed_pf_result
43,5,1,34,20,34,-536.058685791885,538.920410571228,538.920410571228,900,0.598800456190254,1,0,0,1,replayed_pf_result
43,5,1,35,21,22,-578.165127631985,580.874037536905,580.874037536905,900,0.645415597263228,1,0,0,1,replayed_pf_result
43,5,1,36,22,23,25.11703253401,-25.0806117159646,25.11703253401,600,0.0418617208900166,1,0,0,1,replayed_pf_result
43,5,1,37,22,35,-605.991070070916,605.991070070916,605.991070070916,900,0.673323411189907,1,0,0,1,replayed_pf_result
43,5,1,38,23,24,339.51385583934,-336.946457268852,339.51385583934,600,0.5658564263989,1,0,0,1,replayed_pf_result
43,5,1,39,23,36,-561.933244123374,563.531328023536,563.531328023536,900,0.626145920026151,1,0,0,1,replayed_pf_result
43,5,1,40,25,26,141.750793886157,-141.128001606442,141.750793886157,600,0.236251323143595,1,0,0,1,replayed_pf_result
43,5,1,41,25,37,-552.301008735625,554.155912141231,554.155912141231,900,0.615728791268035,1,0,0,1,replayed_pf_result
43,5,1,42,26,27,196.697817666693,-196.124815846583,196.697817666693,600,0.327829696111156,1,0,0,1,replayed_pf_result
43,5,1,43,26,28,0,0,0,600,0,1,0,0,1,replayed_pf_result
43,5,1,44,26,29,-194.569816060251,196.705758477224,196.705758477224,600,0.327842930795373,1,0,0,1,replayed_pf_result
43,5,1,45,28,29,-206,206.584723274837,206.584723274837,600,0.344307872124728,1,0,0,1,replayed_pf_result
43,5,1,46,29,38,-686.790481752061,690.632458715039,690.632458715039,1200,0.575527048929199,1,0,0,1,replayed_pf_result
43,6,1,1,1,2,-275.704049924852,278.362430816155,278.362430816155,600,0.463937384693591,1,0,0,1,replayed_pf_result
43,6,1,2,1,39,178.104049924853,-177.787956460772,178.104049924853,1000,0.178104049924853,1,0,0,1,replayed_pf_result
43,6,1,3,2,3,329.358613075884,-327.94571929713,329.358613075884,500,0.658717226151768,1,0,0,1,replayed_pf_result
43,6,1,4,2,25,-184.039451515031,186.550214849468,186.550214849468,500,0.373100429698935,1,0,0,1,replayed_pf_result
43,6,1,5,2,30,-423.681592377008,423.681592377008,423.681592377008,900,0.470757324863342,1,0,0,1,replayed_pf_result
43,6,1,6,3,4,-5.40681943217284,5.46483161916392,5.46483161916392,500,0.0109296632383278,1,0,0,1,replayed_pf_result
43,6,1,7,3,18,11.3525387293017,-11.3511216519194,11.3525387293017,500,0.0227050774586035,1,0,0,1,replayed_pf_result
43,6,1,8,4,5,-260.223252994162,260.790323850621,260.790323850621,600,0.434650539751035,1,0,0,1,replayed_pf_result
43,6,1,9,4,14,-245.241578625002,245.765517850564,245.765517850564,500,0.491531035701128,1,0,0,1,replayed_pf_result
43,6,1,10,5,6,-658.310662725995,659.208867770162,659.208867770162,1200,0.549340723141802,1,0,0,1,replayed_pf_result
43,6,1,11,5,8,397.520338875377,-396.198384364139,397.520338875377,900,0.441689265417085,1,0,0,1,replayed_pf_result
43,6,1,12,6,7,524.371878758748,-522.634359740751,524.371878758748,900,0.582635420843054,1,0,0,1,replayed_pf_result
43,6,1,13,6,11,-246.372262494243,246.840834648846,246.840834648846,480,0.514251738851762,1,0,0,1,replayed_pf_result
43,6,1,14,6,31,-937.208484034672,937.208484034672,937.208484034672,1800,0.520671380019262,1,0,0,1,replayed_pf_result
43,6,1,15,7,8,288.834359740749,-288.489580544689,288.834359740749,900,0.32092706637861,1,0,0,1,replayed_pf_result
43,6,1,16,8,9,162.687964908826,-161.882572789701,162.687964908826,900,0.180764405454251,1,0,0,1,replayed_pf_result
43,6,1,17,9,39,155.382572789702,-155.123787335347,155.382572789702,900,0.172647303099669,1,0,0,1,replayed_pf_result
43,6,1,18,10,11,256.02833204202,-255.716454329158,256.02833204202,600,0.4267138867367,1,0,0,1,replayed_pf_result
43,6,1,19,10,13,350.256283226789,-349.732050999614,350.256283226789,600,0.583760472044648,1,0,0,1,replayed_pf_result
43,6,1,20,10,32,-606.284615268811,606.284615268811,606.284615268811,900,0.673649572520901,1,0,0,1,replayed_pf_result
43,6,1,21,12,11,-8.84306763106933,8.87561968031104,8.87561968031104,500,0.0177512393606221,1,0,0,1,replayed_pf_result
43,6,1,22,12,13,0.313067631069396,-0.280630503419765,0.313067631069396,500,0.000626135262138791,1,0,0,1,replayed_pf_result
43,6,1,23,13,14,350.012681503034,-348.881085209157,350.012681503034,600,0.583354469171724,1,0,0,1,replayed_pf_result
43,6,1,24,14,15,103.115567358593,-102.914508011569,103.115567358593,600,0.171859278930988,1,0,0,1,replayed_pf_result
43,6,1,25,15,16,-217.085491988432,217.624686047619,217.624686047619,600,0.362707810079365,1,0,0,1,replayed_pf_result
43,6,1,26,16,17,232.145682095166,-231.769213203104,232.145682095166,600,0.386909470158611,1,0,0,1,replayed_pf_result
43,6,1,27,16,19,-447.062651652022,450.502937730744,450.502937730744,600,0.750838229551239,1,0,0,1,replayed_pf_result
43,6,1,28,16,21,-303.370301238667,304.165127631987,304.165127631987,600,0.506941879386645,1,0,0,1,replayed_pf_result
43,6,1,29,16,24,-28.3374152520995,28.346457268852,28.346457268852,600,0.0472440954480867,1,0,0,1,replayed_pf_result
43,6,1,30,17,18,146.800516704583,-146.648878348078,146.800516704583,600,0.244667527840971,1,0,0,1,replayed_pf_result
43,6,1,31,17,27,84.9686964985187,-84.875184153417,84.9686964985187,600,0.141614494164198,1,0,0,1,replayed_pf_result
43,6,1,32,19,20,144.092959093007,-143.941314208114,144.092959093007,900,0.160103287881119,1,0,0,1,replayed_pf_result
43,6,1,33,19,33,-594.595896823753,597.394063380089,597.394063380089,900,0.663771181533432,1,0,0,1,replayed_pf_result
43,6,1,34,20,34,-536.058685791885,538.920410571228,538.920410571228,900,0.598800456190254,1,0,0,1,replayed_pf_result
43,6,1,35,21,22,-578.165127631985,580.874037536905,580.874037536905,900,0.645415597263228,1,0,0,1,replayed_pf_result
43,6,1,36,22,23,25.11703253401,-25.0806117159646,25.11703253401,600,0.0418617208900166,1,0,0,1,replayed_pf_result
43,6,1,37,22,35,-605.991070070916,605.991070070916,605.991070070916,900,0.673323411189907,1,0,0,1,replayed_pf_result
43,6,1,38,23,24,339.51385583934,-336.946457268852,339.51385583934,600,0.5658564263989,1,0,0,1,replayed_pf_result
43,6,1,39,23,36,-561.933244123374,563.531328023536,563.531328023536,900,0.626145920026151,1,0,0,1,replayed_pf_result
43,6,1,40,25,26,141.750793886157,-141.128001606442,141.750793886157,600,0.236251323143595,1,0,0,1,replayed_pf_result
43,6,1,41,25,37,-552.301008735625,554.155912141231,554.155912141231,900,0.615728791268035,1,0,0,1,replayed_pf_result
43,6,1,42,26,27,196.697817666693,-196.124815846583,196.697817666693,600,0.327829696111156,1,0,0,1,replayed_pf_result
43,6,1,43,26,28,0,0,0,600,0,1,0,0,1,replayed_pf_result
43,6,1,44,26,29,-194.569816060251,196.705758477224,196.705758477224,600,0.327842930795373,1,0,0,1,replayed_pf_result
43,6,1,45,28,29,-206,206.584723274837,206.584723274837,600,0.344307872124728,1,0,0,1,replayed_pf_result
43,6,1,46,29,38,-686.790481752061,690.632458715039,690.632458715039,1200,0.575527048929199,1,0,0,1,replayed_pf_result
43,7,1,1,1,2,-275.704049924852,278.362430816155,278.362430816155,600,0.463937384693591,1,0,0,1,replayed_pf_result
43,7,1,2,1,39,178.104049924853,-177.787956460772,178.104049924853,1000,0.178104049924853,1,0,0,1,replayed_pf_result
43,7,1,3,2,3,329.358613075884,-327.94571929713,329.358613075884,500,0.658717226151768,1,0,0,1,replayed_pf_result
43,7,1,4,2,25,-184.039451515031,186.550214849468,186.550214849468,500,0.373100429698935,1,0,0,1,replayed_pf_result
43,7,1,5,2,30,-423.681592377008,423.681592377008,423.681592377008,900,0.470757324863342,1,0,0,1,replayed_pf_result
43,7,1,6,3,4,-5.40681943217284,5.46483161916392,5.46483161916392,500,0.0109296632383278,1,0,0,1,replayed_pf_result
43,7,1,7,3,18,11.3525387293017,-11.3511216519194,11.3525387293017,500,0.0227050774586035,1,0,0,1,replayed_pf_result
43,7,1,8,4,5,-260.223252994162,260.790323850621,260.790323850621,600,0.434650539751035,1,0,0,1,replayed_pf_result
43,7,1,9,4,14,-245.241578625002,245.765517850564,245.765517850564,500,0.491531035701128,1,0,0,1,replayed_pf_result
43,7,1,10,5,6,-658.310662725995,659.208867770162,659.208867770162,1200,0.549340723141802,1,0,0,1,replayed_pf_result
43,7,1,11,5,8,397.520338875377,-396.198384364139,397.520338875377,900,0.441689265417085,1,0,0,1,replayed_pf_result
43,7,1,12,6,7,524.371878758748,-522.634359740751,524.371878758748,900,0.582635420843054,1,0,0,1,replayed_pf_result
43,7,1,13,6,11,-246.372262494243,246.840834648846,246.840834648846,480,0.514251738851762,1,0,0,1,replayed_pf_result
43,7,1,14,6,31,-937.208484034672,937.208484034672,937.208484034672,1800,0.520671380019262,1,0,0,1,replayed_pf_result
43,7,1,15,7,8,288.834359740749,-288.489580544689,288.834359740749,900,0.32092706637861,1,0,0,1,replayed_pf_result
43,7,1,16,8,9,162.687964908826,-161.882572789701,162.687964908826,900,0.180764405454251,1,0,0,1,replayed_pf_result
43,7,1,17,9,39,155.382572789702,-155.123787335347,155.382572789702,900,0.172647303099669,1,0,0,1,replayed_pf_result
43,7,1,18,10,11,256.02833204202,-255.716454329158,256.02833204202,600,0.4267138867367,1,0,0,1,replayed_pf_result
43,7,1,19,10,13,350.256283226789,-349.732050999614,350.256283226789,600,0.583760472044648,1,0,0,1,replayed_pf_result
43,7,1,20,10,32,-606.284615268811,606.284615268811,606.284615268811,900,0.673649572520901,1,0,0,1,replayed_pf_result
43,7,1,21,12,11,-8.84306763106933,8.87561968031104,8.87561968031104,500,0.0177512393606221,1,0,0,1,replayed_pf_result
43,7,1,22,12,13,0.313067631069396,-0.280630503419765,0.313067631069396,500,0.000626135262138791,1,0,0,1,replayed_pf_result
43,7,1,23,13,14,350.012681503034,-348.881085209157,350.012681503034,600,0.583354469171724,1,0,0,1,replayed_pf_result
43,7,1,24,14,15,103.115567358593,-102.914508011569,103.115567358593,600,0.171859278930988,1,0,0,1,replayed_pf_result
43,7,1,25,15,16,-217.085491988432,217.624686047619,217.624686047619,600,0.362707810079365,1,0,0,1,replayed_pf_result
43,7,1,26,16,17,232.145682095166,-231.769213203104,232.145682095166,600,0.386909470158611,1,0,0,1,replayed_pf_result
43,7,1,27,16,19,-447.062651652022,450.502937730744,450.502937730744,600,0.750838229551239,1,0,0,1,replayed_pf_result
43,7,1,28,16,21,-303.370301238667,304.165127631987,304.165127631987,600,0.506941879386645,1,0,0,1,replayed_pf_result
43,7,1,29,16,24,-28.3374152520995,28.346457268852,28.346457268852,600,0.0472440954480867,1,0,0,1,replayed_pf_result
43,7,1,30,17,18,146.800516704583,-146.648878348078,146.800516704583,600,0.244667527840971,1,0,0,1,replayed_pf_result
43,7,1,31,17,27,84.9686964985187,-84.875184153417,84.9686964985187,600,0.141614494164198,1,0,0,1,replayed_pf_result
43,7,1,32,19,20,144.092959093007,-143.941314208114,144.092959093007,900,0.160103287881119,1,0,0,1,replayed_pf_result
43,7,1,33,19,33,-594.595896823753,597.394063380089,597.394063380089,900,0.663771181533432,1,0,0,1,replayed_pf_result
43,7,1,34,20,34,-536.058685791885,538.920410571228,538.920410571228,900,0.598800456190254,1,0,0,1,replayed_pf_result
43,7,1,35,21,22,-578.165127631985,580.874037536905,580.874037536905,900,0.645415597263228,1,0,0,1,replayed_pf_result
43,7,1,36,22,23,25.11703253401,-25.0806117159646,25.11703253401,600,0.0418617208900166,1,0,0,1,replayed_pf_result
43,7,1,37,22,35,-605.991070070916,605.991070070916,605.991070070916,900,0.673323411189907,1,0,0,1,replayed_pf_result
43,7,1,38,23,24,339.51385583934,-336.946457268852,339.51385583934,600,0.5658564263989,1,0,0,1,replayed_pf_result
43,7,1,39,23,36,-561.933244123374,563.531328023536,563.531328023536,900,0.626145920026151,1,0,0,1,replayed_pf_result
43,7,1,40,25,26,141.750793886157,-141.128001606442,141.750793886157,600,0.236251323143595,1,0,0,1,replayed_pf_result
43,7,1,41,25,37,-552.301008735625,554.155912141231,554.155912141231,900,0.615728791268035,1,0,0,1,replayed_pf_result
43,7,1,42,26,27,196.697817666693,-196.124815846583,196.697817666693,600,0.327829696111156,1,0,0,1,replayed_pf_result
43,7,1,43,26,28,0,0,0,600,0,1,0,0,1,replayed_pf_result
43,7,1,44,26,29,-194.569816060251,196.705758477224,196.705758477224,600,0.327842930795373,1,0,0,1,replayed_pf_result
43,7,1,45,28,29,-206,206.584723274837,206.584723274837,600,0.344307872124728,1,0,0,1,replayed_pf_result
43,7,1,46,29,38,-686.790481752061,690.632458715039,690.632458715039,1200,0.575527048929199,1,0,0,1,replayed_pf_result
43,8,1,1,1,2,-275.704049924852,278.362430816155,278.362430816155,600,0.463937384693591,1,0,0,1,replayed_pf_result
43,8,1,2,1,39,178.104049924853,-177.787956460772,178.104049924853,1000,0.178104049924853,1,0,0,1,replayed_pf_result
43,8,1,3,2,3,329.358613075884,-327.94571929713,329.358613075884,500,0.658717226151768,1,0,0,1,replayed_pf_result
43,8,1,4,2,25,-184.039451515031,186.550214849468,186.550214849468,500,0.373100429698935,1,0,0,1,replayed_pf_result
43,8,1,5,2,30,-423.681592377008,423.681592377008,423.681592377008,900,0.470757324863342,1,0,0,1,replayed_pf_result
43,8,1,6,3,4,-5.40681943217284,5.46483161916392,5.46483161916392,500,0.0109296632383278,1,0,0,1,replayed_pf_result
43,8,1,7,3,18,11.3525387293017,-11.3511216519194,11.3525387293017,500,0.0227050774586035,1,0,0,1,replayed_pf_result
43,8,1,8,4,5,-260.223252994162,260.790323850621,260.790323850621,600,0.434650539751035,1,0,0,1,replayed_pf_result
43,8,1,9,4,14,-245.241578625002,245.765517850564,245.765517850564,500,0.491531035701128,1,0,0,1,replayed_pf_result
43,8,1,10,5,6,-658.310662725995,659.208867770162,659.208867770162,1200,0.549340723141802,1,0,0,1,replayed_pf_result
43,8,1,11,5,8,397.520338875377,-396.198384364139,397.520338875377,900,0.441689265417085,1,0,0,1,replayed_pf_result
43,8,1,12,6,7,524.371878758748,-522.634359740751,524.371878758748,900,0.582635420843054,1,0,0,1,replayed_pf_result
43,8,1,13,6,11,-246.372262494243,246.840834648846,246.840834648846,480,0.514251738851762,1,0,0,1,replayed_pf_result
43,8,1,14,6,31,-937.208484034672,937.208484034672,937.208484034672,1800,0.520671380019262,1,0,0,1,replayed_pf_result
43,8,1,15,7,8,288.834359740749,-288.489580544689,288.834359740749,900,0.32092706637861,1,0,0,1,replayed_pf_result
43,8,1,16,8,9,162.687964908826,-161.882572789701,162.687964908826,900,0.180764405454251,1,0,0,1,replayed_pf_result
43,8,1,17,9,39,155.382572789702,-155.123787335347,155.382572789702,900,0.172647303099669,1,0,0,1,replayed_pf_result
43,8,1,18,10,11,256.02833204202,-255.716454329158,256.02833204202,600,0.4267138867367,1,0,0,1,replayed_pf_result
43,8,1,19,10,13,350.256283226789,-349.732050999614,350.256283226789,600,0.583760472044648,1,0,0,1,replayed_pf_result
43,8,1,20,10,32,-606.284615268811,606.284615268811,606.284615268811,900,0.673649572520901,1,0,0,1,replayed_pf_result
43,8,1,21,12,11,-8.84306763106933,8.87561968031104,8.87561968031104,500,0.0177512393606221,1,0,0,1,replayed_pf_result
43,8,1,22,12,13,0.313067631069396,-0.280630503419765,0.313067631069396,500,0.000626135262138791,1,0,0,1,replayed_pf_result
43,8,1,23,13,14,350.012681503034,-348.881085209157,350.012681503034,600,0.583354469171724,1,0,0,1,replayed_pf_result
43,8,1,24,14,15,103.115567358593,-102.914508011569,103.115567358593,600,0.171859278930988,1,0,0,1,replayed_pf_result
43,8,1,25,15,16,-217.085491988432,217.624686047619,217.624686047619,600,0.362707810079365,1,0,0,1,replayed_pf_result
43,8,1,26,16,17,232.145682095166,-231.769213203104,232.145682095166,600,0.386909470158611,1,0,0,1,replayed_pf_result
43,8,1,27,16,19,-447.062651652022,450.502937730744,450.502937730744,600,0.750838229551239,1,0,0,1,replayed_pf_result
43,8,1,28,16,21,-303.370301238667,304.165127631987,304.165127631987,600,0.506941879386645,1,0,0,1,replayed_pf_result
43,8,1,29,16,24,-28.3374152520995,28.346457268852,28.346457268852,600,0.0472440954480867,1,0,0,1,replayed_pf_result
43,8,1,30,17,18,146.800516704583,-146.648878348078,146.800516704583,600,0.244667527840971,1,0,0,1,replayed_pf_result
43,8,1,31,17,27,84.9686964985187,-84.875184153417,84.9686964985187,600,0.141614494164198,1,0,0,1,replayed_pf_result
43,8,1,32,19,20,144.092959093007,-143.941314208114,144.092959093007,900,0.160103287881119,1,0,0,1,replayed_pf_result
43,8,1,33,19,33,-594.595896823753,597.394063380089,597.394063380089,900,0.663771181533432,1,0,0,1,replayed_pf_result
43,8,1,34,20,34,-536.058685791885,538.920410571228,538.920410571228,900,0.598800456190254,1,0,0,1,replayed_pf_result
43,8,1,35,21,22,-578.165127631985,580.874037536905,580.874037536905,900,0.645415597263228,1,0,0,1,replayed_pf_result
43,8,1,36,22,23,25.11703253401,-25.0806117159646,25.11703253401,600,0.0418617208900166,1,0,0,1,replayed_pf_result
43,8,1,37,22,35,-605.991070070916,605.991070070916,605.991070070916,900,0.673323411189907,1,0,0,1,replayed_pf_result
43,8,1,38,23,24,339.51385583934,-336.946457268852,339.51385583934,600,0.5658564263989,1,0,0,1,replayed_pf_result
43,8,1,39,23,36,-561.933244123374,563.531328023536,563.531328023536,900,0.626145920026151,1,0,0,1,replayed_pf_result
43,8,1,40,25,26,141.750793886157,-141.128001606442,141.750793886157,600,0.236251323143595,1,0,0,1,replayed_pf_result
43,8,1,41,25,37,-552.301008735625,554.155912141231,554.155912141231,900,0.615728791268035,1,0,0,1,replayed_pf_result
43,8,1,42,26,27,196.697817666693,-196.124815846583,196.697817666693,600,0.327829696111156,1,0,0,1,replayed_pf_result
